"Título";"ENP ID";"SIDE CODE";"SITE CODE NAT";"Figura asimilable Ley de Patrimonio";"Comunidad autónoma";"Figura CCAA";"Enlace";"Primera designación";"Norma primera designación";"Año primera designación";"Norma del PORN vigente";"Año del PORN vigente";"Norma declaración vigente";"Año declaración vigente";"Norma del instrumento de gestión vigente";"Año del instrumento de gestión vigente";"Año de aprobación de PUP";"Año de aprobación de PDS";"Superficie Total";"Superficie Terrestre";"Superficie Marina";"Superficie Pública";"Registros"
"LIC Serra do Careón";"110076";"349432";"ES111025";"Designaciones para la Red Natura 2000";"Galicia";"Zona de Especial Protección de los Valores Naturales";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 72/2004. DOG 69 de 12 de abril de 2004.";"2004";"";"";"";"";"";"";"";"";"Datos LIC Serra do Careón (2012)"
"LIC Serra do Cando";"110075";"349433";"ES114017";"Designaciones para la Red Natura 2000";"Galicia";"Zona de Especial Protección de los Valores Naturales";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 72/2004. DOG 69 de 12 de abril de 2004.";"2004";"";"";"";"";"";"";"";"";"Datos LIC Serra do Cando (2012)"
"LIC Serra do Candán";"110074";"349434";"ES110006";"Designaciones para la Red Natura 2000";"Galicia";"Zona de Especial Protección de los Valores Naturales";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 72/2004. DOG 69 de 12 de abril de 2004.";"2004";"";"";"";"";"";"";"";"";"Datos LIC Serra do Candán (2012)"
"LIC Río y Embalse del Ebro";"130028";"389294";"ES1300013";"Designaciones para la Red Natura 2000";"Cantabria";"Zona de la Red Ecológica Europea Natura 2000";"www.redeuroparc.org";"0";"";"";"0";"";"Ley de Cantabria 4/2006, de 19 de mayo, de Conservación de la Naturaleza de Cantabria. BOC de 1 de junio de 2006";"2006";"";"";"";"";"";"";"";"";"Datos LIC Río y Embalse del Ebro (2012)"
"LIC Río Tea";"110072";"349684";"ES114016";"Designaciones para la Red Natura 2000";"Galicia";"Zona de Especial Protección de los Valores Naturales";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 72/2004. DOG 69 de 12 de abril de 2004.";"2004";"";"";"";"";"";"";"";"";"Datos LIC Río Tea (2012)"
"LIC Río Támega";"110071";"349676";"ES113011";"Designaciones para la Red Natura 2000";"Galicia";"Zona de Especial Protección de los Valores Naturales";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 72/2004. DOG 69 de 12 de abril de 2004.";"2004";"";"";"";"";"";"";"";"";"Datos LIC Río Támega (2012)"
"LIC Río Tambre";"110070";"349678";"ES111024";"Designaciones para la Red Natura 2000";"Galicia";"Zona de Especial Protección de los Valores Naturales";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 72/2004. DOG 69 de 12 de abril de 2004.";"2004";"";"";"";"";"";"";"";"";"Datos LIC Río Tambre (2012)"
"LIC Río Saja";"130034";"389293";"ES1300020";"Designaciones para la Red Natura 2000";"Cantabria";"Zona de la Red Ecológica Europea Natura 2000";"www.redeuroparc.org";"0";"";"";"0";"";"Ley de Cantabria 4/2006, de 19 de mayo, de Conservación de la Naturaleza de Cantabria. BOC de 1 de junio de 2006";"2006";"";"";"";"";"";"";"";"";"Datos LIC Río Saja (2012)"
"LIC Río Pas";"130025";"389292";"ES1300010";"Designaciones para la Red Natura 2000";"Cantabria";"Zona de la Red Ecológica Europea Natura 2000";"www.redeuroparc.org";"0";"";"";"0";"";"Ley de Cantabria 4/2006, de 19 de mayo, de Conservación de la Naturaleza de Cantabria. BOC de 1 de junio de 2006";"2006";"";"";"";"";"";"";"";"";"Datos LIC Río Pas (2012)"
"LIC Río Ouro";"110069";"349680";"ES112007";"Designaciones para la Red Natura 2000";"Galicia";"Zona de Especial Protección de los Valores Naturales";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 72/2004. DOG 69 de 12 de abril de 2004.";"2004";"";"";"";"";"";"";"";"";"Datos LIC Río Ouro (2012)"
"LIC Río Nansa";"130024";"389291";"ES1300009";"Designaciones para la Red Natura 2000";"Cantabria";"Zona de la Red Ecológica Europea Natura 2000";"www.redeuroparc.org";"0";"";"";"0";"";"Ley de Cantabria 4/2006, de 19 de mayo, de Conservación de la Naturaleza de Cantabria. BOC de 1 de junio de 2006";"2006";"";"";"";"";"";"";"";"";"Datos LIC Río Nansa (2012)"
"LIC Río Miera";"130030";"389290";"ES1300015";"Designaciones para la Red Natura 2000";"Cantabria";"Zona de la Red Ecológica Europea Natura 2000";"www.redeuroparc.org";"0";"";"";"0";"";"Ley de Cantabria 4/2006, de 19 de mayo, de Conservación de la Naturaleza de Cantabria. BOC de 1 de junio de 2006";"2006";"";"";"";"";"";"";"";"";"Datos LIC Río Miera (2012)"
"LIC Río Lérez";"110068";"0";"ES1140002";"Designaciones para la Red Natura 2000";"Galicia";"Zona de Especial Protección de los Valores Naturales";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 72/2004. DOG 69 de 12 de abril de 2004.";"2004";"";"";"";"";"";"";"";"";"Datos LIC Río Lérez (2012)"
"LIC Río Landro";"110067";"0";"ES1120012";"Designaciones para la Red Natura 2000";"Galicia";"Zona de Especial Protección de los Valores Naturales";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 72/2004. DOG 69 de 12 de abril de 2004.";"2004";"";"";"";"";"";"";"";"";"Datos LIC Río Landro (2012)"
"LIC Río Eo";"110066";"349683";"ES112016";"Designaciones para la Red Natura 2000";"Galicia";"Zona de Especial Protección de los Valores Naturales";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 72/2004. DOG 69 de 12 de abril de 2004.";"2004";"";"";"";"";"";"";"";"";"Datos LIC Río Eo (2012)"
"LIC Río Deva";"130023";"389289";"ES1300008";"Designaciones para la Red Natura 2000";"Cantabria";"Zona de la Red Ecológica Europea Natura 2000";"www.redeuroparc.org";"0";"";"";"0";"";"Ley de Cantabria 4/2006, de 19 de mayo, de Conservación de la Naturaleza de Cantabria. BOC de 1 de junio de 2006";"2006";"";"";"";"";"";"";"";"";"Datos LIC Río Deva (2012)"
"LIC Río Camesa";"130029";"389288";"ES1300014";"Designaciones para la Red Natura 2000";"Cantabria";"Zona de la Red Ecológica Europea Natura 2000";"www.redeuroparc.org";"0";"";"";"0";"";"Ley de Cantabria 4/2006, de 19 de mayo, de Conservación de la Naturaleza de Cantabria. BOC de 1 de junio de 2006";"2006";"";"";"";"";"";"";"";"";"Datos LIC Río Camesa (2012)"
"LIC Río Cabe";"110065";"349685";"ES112002";"Designaciones para la Red Natura 2000";"Galicia";"Zona de Especial Protección de los Valores Naturales";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 72/2004. DOG 69 de 12 de abril de 2004.";"2004";"";"";"";"";"";"";"";"";"Datos LIC Río Cabe (2012)"
"LIC Río Asón";"130026";"389287";"ES1300011";"Designaciones para la Red Natura 2000";"Cantabria";"Zona de la Red Ecológica Europea Natura 2000";"www.redeuroparc.org";"0";"";"";"0";"";"Ley de Cantabria 4/2006, de 19 de mayo, de Conservación de la Naturaleza de Cantabria. BOC de 1 de junio de 2006";"2006";"";"";"";"";"";"";"";"";"Datos LIC Río Asón (2012)"
"LIC Río Anllóns";"110064";"349688";"ES111023";"Designaciones para la Red Natura 2000";"Galicia";"Zona de Especial Protección de los Valores Naturales";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 72/2004. DOG 69 de 12 de abril de 2004.";"2004";"";"";"";"";"";"";"";"";"Datos LIC Río Anllóns (2012)"
"LIC Río Agüera";"130027";"389286";"ES1300012";"Designaciones para la Red Natura 2000";"Cantabria";"Zona de la Red Ecológica Europea Natura 2000";"www.redeuroparc.org";"0";"";"";"0";"";"Ley de Cantabria 4/2006, de 19 de mayo, de Conservación de la Naturaleza de Cantabria. BOC de 1 de junio de 2006";"2006";"";"";"";"";"";"";"";"";"Datos LIC Río Agüera (2012)"
"LIC Rías Occidentales y Duna de Oyambre";"130018";"389285";"ES1300003";"Designaciones para la Red Natura 2000";"Cantabria";"Zona de la Red Ecológica Europea Natura 2000";"www.redeuroparc.org";"0";"";"";"0";"";"Ley de Cantabria 4/2006, de 19 de mayo, de Conservación de la Naturaleza de Cantabria. BOC de 1 de junio de 2006";"2006";"";"";"";"";"";"";"";"";"Datos LIC Rías Occidentales y Duna de Oyambre (2012)"
"LIC Ría de Foz - Masma";"110061";"349575";"ES112017";"Designaciones para la Red Natura 2000";"Galicia";"Zona de Especial Protección de los Valores Naturales";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 72/2004. DOG 69 de 12 de abril de 2004.";"2004";"";"";"";"";"";"";"";"";"Datos LIC Ría de Foz - Masma (2012)"
"LIC Pena Veidosa";"110060";"349592";"ES110005";"Designaciones para la Red Natura 2000";"Galicia";"Zona de Especial Protección de los Valores Naturales";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 72/2004. DOG 69 de 12 de abril de 2004.";"2004";"";"";"";"";"";"";"";"";"Datos LIC Pena Veidosa (2012)"
"LIC Pena Trevinca";"110059";"349603";"ES113010";"Designaciones para la Red Natura 2000";"Galicia";"Zona de Especial Protección de los Valores Naturales";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 72/2004. DOG 69 de 12 de abril de 2004.";"2004";"";"";"";"";"";"";"";"";"Datos LIC Pena Trevinca (2012)"
"LIC Pena Maseira";"110058";"349604";"ES113012";"Designaciones para la Red Natura 2000";"Galicia";"Zona de Especial Protección de los Valores Naturales";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 72/2004. DOG 69 de 12 de abril de 2004.";"2004";"";"";"";"";"";"";"";"";"Datos LIC Pena Maseira (2012)"
"LIC Parga - Ladra - Támoga";"110057";"348976";"ES112015";"Designaciones para la Red Natura 2000";"Galicia";"Zona de Especial Protección de los Valores Naturales";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 72/2004. DOG 69 de 12 de abril de 2004.";"2004";"";"";"";"";"";"";"";"";"Datos LIC Parga - Ladra - Támoga (2012)"
"LIC Os Ancares - O Courel";"110016";"0";"ES1120001";"Designaciones para la Red Natura 2000";"Galicia";"Zona de Especial Protección de los Valores Naturales";"www.redeuroparc.org";"Espacio Natural en Régimen de Protección General";"";"1997";"0";"";"Decreto 72/2004. DOG 69 de 12 de abril de 2004.";"2004";"";"";"";"";"";"";"";"";"Datos LIC Os Ancares - O Courel (2012)"
"LIC Ortigueira - Mera";"110056";"348970";"ES111021";"Designaciones para la Red Natura 2000";"Galicia";"Zona de Especial Protección de los Valores Naturales";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 72/2004. DOG 69 de 12 de abril de 2004.";"2004";"";"";"";"";"";"";"";"";"Datos LIC Ortigueira - Mera (2012)"
"LIC Negueira";"110055";"349001";"ES112014";"Designaciones para la Red Natura 2000";"Galicia";"Zona de Especial Protección de los Valores Naturales";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 72/2004. DOG 69 de 12 de abril de 2004.";"2004";"";"";"";"";"";"";"";"";"Datos LIC Negueira (2012)"
"LIC Monte Maior";"110054";"348941";"ES112013";"Designaciones para la Red Natura 2000";"Galicia";"Zona de Especial Protección de los Valores Naturales";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 72/2004. DOG 69 de 12 de abril de 2004.";"2004";"";"";"";"";"";"";"";"";"Datos LIC Monte Maior (2012)"
"LIC Monte Faro";"110053";"348938";"ES110004";"Designaciones para la Red Natura 2000";"Galicia";"Zona de Especial Protección de los Valores Naturales";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 72/2004. DOG 69 de 12 de abril de 2004.";"2004";"";"";"";"";"";"";"";"";"Datos LIC Monte Faro (2012)"
"LIC Monte e lagoa de Louro";"110052";"348937";"ES111020";"Designaciones para la Red Natura 2000";"Galicia";"Zona de Especial Protección de los Valores Naturales";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 72/2004. DOG 69 de 12 de abril de 2004.";"2004";"";"";"";"";"";"";"";"";"Datos LIC Monte e lagoa de Louro (2012)"
"LIC Monte Aloia";"110051";"389056";"ES114020";"Designaciones para la Red Natura 2000";"Galicia";"Zona de Especial Protección de los Valores Naturales";"www.redeuroparc.org";"Parque Natural";"";"1979";"0";"";"Decreto 72/2004. DOG 69 de 12 de abril de 2004.";"2004";"";"";"";"";"";"";"";"";"Datos LIC Monte Aloia (2012)"
"LIC Montaña Oriental";"130017";"389284";"ES1300002";"Designaciones para la Red Natura 2000";"Cantabria";"Zona de la Red Ecológica Europea Natura 2000";"www.redeuroparc.org";"0";"";"";"0";"";"Ley de Cantabria 4/2006, de 19 de mayo, de Conservación de la Naturaleza de Cantabria. BOC de 1 de junio de 2006";"2006";"";"";"";"";"";"";"";"";"Datos LIC Montaña Oriental (2012)"
"LIC Marismas de Santoña, Victoria y Joyel";"130022";"389283";"ES1300007";"Designaciones para la Red Natura 2000";"Cantabria";"Zona de la Red Ecológica Europea Natura 2000";"www.redeuroparc.org";"0";"";"";"0";"";"Ley de Cantabria 4/2006, de 19 de mayo, de Conservación de la Naturaleza de Cantabria. BOC de 1 de junio de 2006";"2006";"";"";"";"";"";"";"";"";"Datos LIC Marismas de Santoña, Victoria y Joyel (2012)"
"LIC Marina Occidental";"110089";"0";"ES1120017";"Designaciones para la Red Natura 2000";"Galicia";"Zona de Especial Protección de los Valores Naturales";"www.redeuroparc.org";"0";"0";"0";"0";"";"Decreto 72/2004. DOG 69 de 12 de abril de 2004";"2004";"";"";"";"";"";"";"";"";"Datos LIC Marina Occidental (2012)"
"LIC Macizo Central";"110050";"349052";"ES113008";"Designaciones para la Red Natura 2000";"Galicia";"Zona de Especial Protección de los Valores Naturales";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 72/2004. DOG 69 de 12 de abril de 2004.";"2004";"";"";"";"";"";"";"";"";"Datos LIC Macizo Central (2012)"
"LIC Liébana";"130016";"389282";"ES1300001";"Designaciones para la Red Natura 2000";"Cantabria";"Zona de la Red Ecológica Europea Natura 2000";"www.redeuroparc.org";"0";"";"";"0";"";"Ley de Cantabria 4/2006, de 19 de mayo, de Conservación de la Naturaleza de Cantabria. BOC de 1 de junio de 2006";"2006";"";"";"";"";"";"";"";"";"Datos LIC Liébana (2012)"
"LIC Illas Estelas";"110049";"348795";"ES114013";"Designaciones para la Red Natura 2000";"Galicia";"Zona de Especial Protección de los Valores Naturales";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 72/2004. DOG 69 de 12 de abril de 2004.";"2004";"";"";"";"";"";"";"";"";"Datos LIC Illas Estelas (2012)"
"LIC Gándaras de Budiño";"110046";"348888";"ES114011";"Designaciones para la Red Natura 2000";"Galicia";"Zona de Especial Protección de los Valores Naturales";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 72/2004. DOG 69 de 12 de abril de 2004.";"2004";"";"";"";"";"";"";"";"";"Datos LIC Gándaras de Budiño (2012)"
"LIC Fragas do Eume";"110045";"348877";"ES111019";"Designaciones para la Red Natura 2000";"Galicia";"Zona de Especial Protección de los Valores Naturales";"www.redeuroparc.org";"Parque Natural";"Aún vigente, solapa";"1997";"0";"";"Decreto 72/2004. DOG 69 de 12 de abril de 2004.";"2004";"";"";"";"";"";"";"";"";"Datos LIC Fragas do Eume (2012)"
"LIC Esteiro do Tambre";"110044";"348875";"ES111018";"Designaciones para la Red Natura 2000";"Galicia";"Zona de Especial Protección de los Valores Naturales";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 72/2004. DOG 69 de 12 de abril de 2004.";"2004";"";"";"";"";"";"";"";"";"Datos LIC Esteiro do Tambre (2012)"
"LIC Estaca de Bares";"110042";"348883";"ES111017";"Designaciones para la Red Natura 2000";"Galicia";"Zona de Especial Protección de los Valores Naturales";"www.redeuroparc.org";"Sitio Natural de Interés Nacional";"";"1933";"0";"";"Decreto 72/2004. DOG 69 de 12 de abril de 2004.";"2004";"";"";"";"";"";"";"";"";"Datos LIC Estaca de Bares (2012)"
"LIC Enseada de San Simón";"110041";"348878";"ES114009";"Designaciones para la Red Natura 2000";"Galicia";"Zona de Especial Protección de los Valores Naturales";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 72/2004. DOG 69 de 12 de abril de 2004.";"2004";"";"";"";"";"";"";"";"";"Datos LIC Enseada de San Simón (2012)"
"LIC Encoro de Abegondo - Cecebre";"110040";"348885";"ES111016";"Designaciones para la Red Natura 2000";"Galicia";"Zona de Especial Protección de los Valores Naturales";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 72/2004. DOG 69 de 12 de abril de 2004.";"2004";"";"";"";"";"";"";"";"";"Datos LIC Encoro de Abegondo - Cecebre (2012)"
"LIC Dunas del Puntal y Estuario del Miera";"130020";"389281";"ES1300005";"Designaciones para la Red Natura 2000";"Cantabria";"Zona de la Red Ecológica Europea Natura 2000";"www.redeuroparc.org";"0";"";"";"0";"";"Ley de Cantabria 4/2006, de 19 de mayo, de Conservación de la Naturaleza de Cantabria. BOC de 1 de junio de 2006";"2006";"";"";"";"";"";"";"";"";"Datos LIC Dunas del Puntal y Estuario del Miera (2012)"
"LIC Dunas de Liencres y Estuario del Pas";"130019";"389280";"ES1300004";"Designaciones para la Red Natura 2000";"Cantabria";"Zona de la Red Ecológica Europea Natura 2000";"www.redeuroparc.org";"0";"";"";"0";"";"Ley de Cantabria 4/2006, de 19 de mayo, de Conservación de la Naturaleza de Cantabria. BOC de 1 de junio de 2006";"2006";"";"";"";"";"";"";"";"";"Datos LIC Dunas de Liencres y Estuario del Pas (2012)"
"LIC Cueva la Rogería";"130032";"389278";"ES1300017";"Designaciones para la Red Natura 2000";"Cantabria";"Zona de la Red Ecológica Europea Natura 2000";"www.redeuroparc.org";"0";"";"";"0";"";"Ley de Cantabria 4/2006, de 19 de mayo, de Conservación de la Naturaleza de Cantabria. BOC de 1 de junio de 2006";"2006";"";"";"";"";"";"";"";"";"Datos LIC Cueva la Rogería (2012)"
"LIC Cueva El Rejo";"130033";"389279";"ES1300019";"Designaciones para la Red Natura 2000";"Cantabria";"Zona de la Red Ecológica Europea Natura 2000";"www.redeuroparc.org";"0";"";"";"0";"";"Ley de Cantabria 4/2006, de 19 de mayo, de Conservación de la Naturaleza de Cantabria. BOC de 1 de junio de 2006";"2006";"";"";"";"";"";"";"";"";"Datos LIC Cueva El Rejo (2012)"
"LIC Cruzul - Agüeira";"110039";"349350";"ES112011";"Designaciones para la Red Natura 2000";"Galicia";"Zona de Especial Protección de los Valores Naturales";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 72/2004. DOG 69 de 12 de abril de 2004.";"2004";"";"";"";"";"";"";"";"";"Datos LIC Cruzul - Agüeira (2012)"
"LIC Costa de Dexo";"110037";"389057";"ES1110009";"Designaciones para la Red Natura 2000";"Galicia";"Zona de Especial Protección de los Valores Naturales";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 72/2004. DOG 69 de 12 de abril de 2004.";"2004";"";"";"";"";"";"";"";"";"Datos LIC Costa de Dexo (2012)"
"LIC Costa da Vela";"110036";"349380";"ES114008";"Designaciones para la Red Natura 2000";"Galicia";"Zona de Especial Protección de los Valores Naturales";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 72/2004. DOG 69 de 12 de abril de 2004.";"2004";"";"";"";"";"";"";"";"";"Datos LIC Costa da Vela (2012)"
"LIC Costa da Morte";"110034";"349368";"ES111013";"Designaciones para la Red Natura 2000";"Galicia";"Zona de Especial Protección de los Valores Naturales";"www.redeuroparc.org";"Sitio Natural de Interés Nacional";"";"1933";"0";"";"Decreto 72/2004. DOG 69 de 12 de abril de 2004.";"2004";"";"";"";"";"";"";"";"";"Datos LIC Costa da Morte (2012)"
"LIC Costa Central y Ría de Ajo";"130021";"389277";"ES1300006";"Designaciones para la Red Natura 2000";"Cantabria";"Zona de la Red Ecológica Europea Natura 2000";"www.redeuroparc.org";"0";"";"";"0";"";"Ley de Cantabria 4/2006, de 19 de mayo, de Conservación de la Naturaleza de Cantabria. BOC de 1 de junio de 2006";"2006";"";"";"";"";"";"";"";"";"Datos LIC Costa Central y Ría de Ajo (2012)"
"LIC Costa Ártabra";"110032";"349375";"ES111012";"Designaciones para la Red Natura 2000";"Galicia";"Zona de Especial Protección de los Valores Naturales";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 72/2004. DOG 69 de 12 de abril de 2004.";"2004";"";"";"";"";"";"";"";"";"Datos LIC Costa Ártabra (2012)"
"LIC Complexo Ons - O Grove";"110031";"348969";"ES114014";"Designaciones para la Red Natura 2000";"Galicia";"Zona de Especial Protección de los Valores Naturales";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 72/2004. DOG 69 de 12 de abril de 2004.";"2004";"";"";"";"";"";"";"";"";"Datos LIC Complexo Ons - O Grove (2012)"
"LIC Complexo húmido de Corrubedo";"110028";"349357";"ES111010";"Designaciones para la Red Natura 2000";"Galicia";"Zona de Especial Protección de los Valores Naturales";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 72/2004. DOG 69 de 12 de abril de 2004.";"2004";"";"";"";"";"";"";"";"";"Datos LIC Complexo húmido de Corrubedo (2012)"
"LIC Carnota - Monte Pindo";"110027";"349128";"ES111009";"Designaciones para la Red Natura 2000";"Galicia";"Zona de Especial Protección de los Valores Naturales";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 72/2004. DOG 69 de 12 de abril de 2004.";"2004";"";"";"";"";"";"";"";"";"Datos LIC Carnota - Monte Pindo (2012)"
